Name,First Name,Surname,Quote
Pascal Chimbonda,Pascal,Chimbonda,
Titus Bramble,Titus,Bramble,
Rod Stewart,Rod,Stewart,
Emile Heskey,Emile,Heskey,
Filipe Da Costa,Filipe,Da Costa,
Jay-Roy Grot,Jay-Roy,Grot,
Jay-Jay Okocha,Jay-Jay,Okocha,
Seydou Doumbia,Seydou,Doumbia,
Vagner Love,Vagner,Love,
Emmanuel Emenike,Emmanuel,Emenike,
Aiden McGeady,Aiden,McGeady,
Gervinho,Gervinho,,
El-Hadji Diouf,El-Hadji,Diouf,
Alvaro Negredo,Alvaro,Negredo,
Kelvin,Kelvin,,
Stephan El Shaarawy,Stephan,El Shaarawy,
Eric Djemba-Djemba,Eric,Djemba-Djemba,
Pierre-Michel Lasogga,Pierre-Michel,Lasogga,
Jimmy Kébé,Jimmy,Kébé,
Paul Rachubka,Paul,Rachubka,
Rudy Gestede,Rudy,Gestede,
Ashley Fletcher,Ashley,Fletcher,
Cameron Borthwick-Jackson,Cameron,Borthwick-Jackson,
Barry Bannon,Barry,Bannon,
Adebayo Akinfenwa,Adebayo,Akinfenwa,
Dion Dublin,Dion,Dublin,
Anatoliy Tymoshchuk,Anatoliy,Tymoshchuk,
Davide Somma,Davide,Somma,
Tore André Flo,Tore André, Flo,